scenario,metric,value,low,high
S&TxV&T&T 70% (TxV 2030),cancer_treatments,-194203.2856,-237958.59642,-165072.79276
S&TxV&T&T 70% (TxV 2030),vaccinations,-12063.240899999626,-41104.376399999484,18973.54186000003
S&TxV&T&T 70% (TxV 2030),txvs,-7481890.078199999,-10615949.8498,-4991471.22662
S&TxV 70% (TxV 2030),asr_cancer_incidence,263.83530521233735,208.77979009141984,423.1736560449215
S&TxV 70% (TxV 2030),cancer_incidence,278.78724336624146,215.02253828048705,465.6393610715866
S&TxV 70% (TxV 2030),cancer_incidence_with_hiv,1018.2021265029907,617.55990152359,1378.5664244174957
S&TxV 70% (TxV 2030),cancer_incidence_no_hiv,273.98681189119816,211.77036826908588,459.3147539556026
S&TxV 70% (TxV 2030),cancers,36965.637538879484,27511.63398738446,63768.96284999559
S&TxV 70% (TxV 2030),cancers_with_hiv,990.3771525994823,559.6748023452257,1291.809228033
S&TxV 70% (TxV 2030),cancers_no_hiv,36002.070833835416,26801.54191826671,62176.62240342342
S&TxV 70% (TxV 2030),cancer_deaths,29674.08039757993,22965.13294709874,49956.70356116668
S&TxV 70% (TxV 2030),screens,-17880254.8051,-20265946.8542,-16788278.32452
S&TxV 70% (TxV 2030),ablations,959548.9027,523604.22662,1597649.6676399999
S&TxV 70% (TxV 2030),leeps,-183629.3337,-245792.25656,-96565.49876000002
S&TxV 70% (TxV 2030),cancer_treatments,104101.3011,68120.07886,155273.27114
S&TxV 70% (TxV 2030),vaccinations,-9382.520699999295,-38274.727299999635,20016.044160000976
S&TxV 70% (TxV 2030),txvs,-7666115.1274999995,-10238832.08922,-5772513.94978
